T1url,id
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028079/session_1/anat_1/anat.nii.gz,0028079
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028080/session_1/anat_1/anat.nii.gz,0028080
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028081/session_1/anat_1/anat.nii.gz,0028081
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028082/session_1/anat_1/anat.nii.gz,0028082
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028083/session_1/anat_1/anat.nii.gz,0028083
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028084/session_1/anat_1/anat.nii.gz,0028084
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028085/session_1/anat_1/anat.nii.gz,0028085
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028086/session_1/anat_1/anat.nii.gz,0028086
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028087/session_1/anat_1/anat.nii.gz,0028087
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028088/session_1/anat_1/anat.nii.gz,0028088
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028089/session_1/anat_1/anat.nii.gz,0028089
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028090/session_1/anat_1/anat.nii.gz,0028090
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028091/session_1/anat_1/anat.nii.gz,0028091
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028092/session_1/anat_1/anat.nii.gz,0028092
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028093/session_1/anat_1/anat.nii.gz,0028093
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028094/session_1/anat_1/anat.nii.gz,0028094
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028095/session_1/anat_1/anat.nii.gz,0028095
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028096/session_1/anat_1/anat.nii.gz,0028096
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028097/session_1/anat_1/anat.nii.gz,0028097
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028098/session_1/anat_1/anat.nii.gz,0028098
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028099/session_1/anat_1/anat.nii.gz,0028099
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028100/session_1/anat_1/anat.nii.gz,0028100
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028101/session_1/anat_1/anat.nii.gz,0028101
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028102/session_1/anat_1/anat.nii.gz,0028102
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028103/session_1/anat_1/anat.nii.gz,0028103
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028104/session_1/anat_1/anat.nii.gz,0028104
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028105/session_1/anat_1/anat.nii.gz,0028105
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028106/session_1/anat_1/anat.nii.gz,0028106
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028107/session_1/anat_1/anat.nii.gz,0028107
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028108/session_1/anat_1/anat.nii.gz,0028108
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028109/session_1/anat_1/anat.nii.gz,0028109
https://s3.amazonaws.com/fcp-indi/data/Projects/ACPI/RawData/uci_1/0028110/session_1/anat_1/anat.nii.gz,0028110
